Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Efficiency,Quality
2527,7238,5.17,6,662,291,0,0,1093,0.979296066,good
2433,8195,5.85,2,671,286,0,0,1070,0.991752577,good
2585,9233,6.77,0,669,256,17,13,1235,0.986111111,good
2649,10993,8.24,4,620,298,8,10,1333,0.983673469,good
2600,11629,8.37,15,617,323,6,4,1309,0.944971537,poor
2752,12458,8.9,2,559,354,0,0,1469,0.99001996,good
2603,10935,7.87,5,602,337,0,0,1316,0.970588235,fair
2402,7526,5.37,1,623,282,0,0,1028,0.903225806,poor
2598,10507,8.34,9,623,257,4,19,1239,0.990234375,good
2664,11306,8.53,15,587,303,9,10,1348,0.988095238,good
2901,13181,10.24,3,623,290,15,27,1573,0.993877551,good
2661,9480,6.99,3,664,238,15,29,1283,0.95793499,fair
2691,11916,8.51,1,572,287,20,30,1400,0.982986767,good
2870,14733,10.52,4,508,377,18,21,1670,0.98046875,good
2874,14671,10.48,9,504,414,3,7,1649,0.990059642,good
2484,9677,6.91,4,614,323,0,0,1188,0.995824635,good
2702,11060,7.9,9,627,292,14,28,1410,0.988212181,good
2532,9897,7.07,5,653,239,15,24,1184,0.981963928,good
2594,10390,7.42,9,656,235,31,19,1210,0.987368421,good
2615,10917,7.79,3,660,264,21,20,1277,0.977412731,good
2266,7632,5.44,2,712,241,0,0,905,0.983546618,good
2435,8719,6.23,2,579,314,0,0,1126,0.976143141,fair
2460,8493,6.06,5,692,211,21,20,1073,0.976047904,fair
2625,10267,8.13,7,660,227,13,39,1278,0.983539095,good
2893,13129,10.35,5,621,272,16,45,1583,0.991360691,good
2404,7708,5.5,6,725,218,17,17,1028,0.996078431,good
2692,11822,8.5,7,550,355,7,18,1453,0.975257732,fair
2726,11998,9.76,8,644,276,5,30,1416,0.946391753,poor
2796,12246,9.67,2,614,247,12,49,1474,0.98540146,good
2608,10000,7.14,1,586,303,17,10,1310,0.982791587,good
2808,9954,7.11,6,587,294,14,32,1473,0.983505155,good
2639,9576,6.89,7,680,228,22,25,1211,0.986,good
2400,8334,5.95,5,696,215,19,10,995,0.982490272,good
2211,5718,4.08,1,741,174,4,7,759,0.988349515,good
2298,6482,4.63,4,687,238,0,0,902,0.956692913,fair
2419,8167,5.83,7,627,254,16,4,1063,0.984771574,good
2494,10090,7.2,8,587,293,0,0,1148,0.985743381,good
2562,9318,6.65,7,662,243,24,20,1194,0.981818182,good
2463,8330,5.95,4,679,232,18,16,1083,0.991489362,good
2377,8282,5.91,4,705,228,11,14,1010,0.988023952,good
2792,12663,9.04,7,544,367,7,0,1503,0.967213115,fair
2963,14997,10.71,36,468,426,27,5,1781,0.977130977,good
2928,13995,9.99,8,527,416,10,6,1721,0.987903226,good
2676,10260,7.33,1,584,326,17,17,1405,0.995575221,good
3113,14242,10.17,13,504,452,26,6,1934,0.970212766,fair
3306,19828,14.32,68,1155,215,20,19,1189,0.981132075,good
2200,5636,4.02,3,677,211,0,0,771,0.989429175,good
2532,10349,7.39,4,635,312,8,12,1235,0.975982533,fair
2570,10088,7.2,1,634,321,12,15,1305,0.98816568,good
2324,8351,5.96,1,697,207,13,16,945,0.983870968,good
2280,6717,4.8,1,724,208,6,6,867,0.991614256,good
2418,7440,5.31,4,698,237,11,17,1045,0.988349515,good
2848,13719,10.79,0,576,361,6,27,1616,0.953539823,fair
2784,12758,9.11,15,581,407,0,0,1545,0.98488121,good
2687,11853,9.19,0,669,268,7,33,1349,0.971774194,fair
2865,14186,10.9,2,591,293,27,33,1581,0.987951807,good
2600,10357,8.18,7,668,220,22,32,1226,0.987152034,good
2515,8620,6.15,1,707,251,3,12,1123,1,good
2575,9226,6.59,17,1083,340,0,0,1226,0.985971944,good
2503,9986,7.13,7,616,325,0,0,1205,0.971098266,fair
